period_name,origin_name,destination_name,product_name,transport_mode,lane_status,mode_selection_rule,variable_transport_cost,variable_transport_cost_basis,transport_time,transport_time_basis,distance,distance_basis
,SUP_40,ODC_DETROIT,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_40,ODC_DETROIT,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_40,ODC_GRAND_RAPIDS,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_40,ODC_GRAND_RAPIDS,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_40,ODC_GRAND_RAPIDS,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_40,ODC_GRAND_RAPIDS,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_40,ODC_GRAND_RAPIDS,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_40,ODC_DAYTON,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_40,ODC_DAYTON,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_40,ODC_DAYTON,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_40,ODC_DAYTON,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_40,ODC_DAYTON,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_40,ODC_NASHVILLE,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_40,ODC_NASHVILLE,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_40,ODC_NASHVILLE,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_40,ODC_NASHVILLE,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_40,ODC_NASHVILLE,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_40,ODC_RAMOS,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_40,ODC_RAMOS,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_40,ODC_RAMOS,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_40,ODC_RAMOS,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_40,ODC_RAMOS,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_373,DC_HAMTRAMCK,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_373,DC_HAMTRAMCK,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_373,DC_HAMTRAMCK,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_373,DC_HAMTRAMCK,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_373,DC_HAMTRAMCK,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_373,ODC_DETROIT,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_373,ODC_DETROIT,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_373,ODC_DETROIT,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_373,ODC_DETROIT,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_373,ODC_DETROIT,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_373,ODC_GRAND_RAPIDS,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_373,ODC_GRAND_RAPIDS,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_373,ODC_GRAND_RAPIDS,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_373,ODC_GRAND_RAPIDS,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_373,ODC_GRAND_RAPIDS,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_373,ODC_DAYTON,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_373,ODC_DAYTON,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_373,ODC_DAYTON,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_373,ODC_DAYTON,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_373,ODC_DAYTON,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_373,ODC_NASHVILLE,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_373,ODC_NASHVILLE,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_373,ODC_NASHVILLE,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_373,ODC_NASHVILLE,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_373,ODC_NASHVILLE,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_373,ODC_RAMOS,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_373,ODC_RAMOS,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_373,ODC_RAMOS,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_373,ODC_RAMOS,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_373,ODC_RAMOS,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_346,DC_HAMTRAMCK,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_346,DC_HAMTRAMCK,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_346,DC_HAMTRAMCK,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_346,DC_HAMTRAMCK,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_346,DC_HAMTRAMCK,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_346,ODC_DETROIT,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_346,ODC_DETROIT,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_346,ODC_DETROIT,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_346,ODC_DETROIT,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_346,ODC_DETROIT,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_346,ODC_GRAND_RAPIDS,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_346,ODC_GRAND_RAPIDS,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_346,ODC_GRAND_RAPIDS,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_346,ODC_GRAND_RAPIDS,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_346,ODC_GRAND_RAPIDS,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_346,ODC_DAYTON,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_346,ODC_DAYTON,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_346,ODC_DAYTON,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_346,ODC_DAYTON,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_346,ODC_DAYTON,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_346,ODC_NASHVILLE,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_346,ODC_NASHVILLE,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_346,ODC_NASHVILLE,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_346,ODC_NASHVILLE,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_346,ODC_NASHVILLE,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_346,ODC_RAMOS,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_346,ODC_RAMOS,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_346,ODC_RAMOS,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_346,ODC_RAMOS,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_346,ODC_RAMOS,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_139,DC_HAMTRAMCK,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_139,DC_HAMTRAMCK,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_139,DC_HAMTRAMCK,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_139,DC_HAMTRAMCK,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_139,DC_HAMTRAMCK,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_139,ODC_DETROIT,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_139,ODC_DETROIT,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_139,ODC_DETROIT,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_139,ODC_DETROIT,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_139,ODC_DETROIT,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_139,ODC_GRAND_RAPIDS,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_139,ODC_GRAND_RAPIDS,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_139,ODC_GRAND_RAPIDS,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_139,ODC_GRAND_RAPIDS,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_139,ODC_GRAND_RAPIDS,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_139,ODC_DAYTON,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_139,ODC_DAYTON,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_139,ODC_DAYTON,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_139,ODC_DAYTON,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_139,ODC_DAYTON,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_139,ODC_NASHVILLE,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_139,ODC_NASHVILLE,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_139,ODC_NASHVILLE,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_139,ODC_NASHVILLE,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_139,ODC_NASHVILLE,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_139,ODC_RAMOS,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_139,ODC_RAMOS,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_139,ODC_RAMOS,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_139,ODC_RAMOS,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_139,ODC_RAMOS,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_172,DC_HAMTRAMCK,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_172,DC_HAMTRAMCK,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_172,DC_HAMTRAMCK,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_172,DC_HAMTRAMCK,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_172,DC_HAMTRAMCK,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_172,ODC_DETROIT,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_172,ODC_DETROIT,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_172,ODC_DETROIT,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_172,ODC_DETROIT,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_172,ODC_DETROIT,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_172,ODC_GRAND_RAPIDS,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_172,ODC_GRAND_RAPIDS,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_172,ODC_GRAND_RAPIDS,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_172,ODC_GRAND_RAPIDS,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_172,ODC_GRAND_RAPIDS,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_172,ODC_DAYTON,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_172,ODC_DAYTON,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_172,ODC_DAYTON,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_172,ODC_DAYTON,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_172,ODC_DAYTON,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_172,ODC_NASHVILLE,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_172,ODC_NASHVILLE,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_172,ODC_NASHVILLE,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_172,ODC_NASHVILLE,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_172,ODC_NASHVILLE,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_172,ODC_RAMOS,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_172,ODC_RAMOS,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_172,ODC_RAMOS,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_172,ODC_RAMOS,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_172,ODC_RAMOS,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_50,DC_HAMTRAMCK,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_50,DC_HAMTRAMCK,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_50,DC_HAMTRAMCK,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_50,DC_HAMTRAMCK,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_50,DC_HAMTRAMCK,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_50,ODC_DETROIT,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_50,ODC_DETROIT,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_50,ODC_DETROIT,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_50,ODC_DETROIT,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_50,ODC_DETROIT,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_50,ODC_GRAND_RAPIDS,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_50,ODC_GRAND_RAPIDS,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_50,ODC_GRAND_RAPIDS,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_50,ODC_GRAND_RAPIDS,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_50,ODC_GRAND_RAPIDS,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_50,ODC_DAYTON,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_50,ODC_DAYTON,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_50,ODC_DAYTON,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_50,ODC_DAYTON,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_50,ODC_DAYTON,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_50,ODC_NASHVILLE,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_50,ODC_NASHVILLE,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_50,ODC_NASHVILLE,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_50,ODC_NASHVILLE,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_50,ODC_NASHVILLE,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_50,ODC_RAMOS,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_50,ODC_RAMOS,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_50,ODC_RAMOS,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_50,ODC_RAMOS,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_50,ODC_RAMOS,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_253,DC_HAMTRAMCK,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_253,DC_HAMTRAMCK,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_253,DC_HAMTRAMCK,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_253,DC_HAMTRAMCK,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_253,DC_HAMTRAMCK,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_253,ODC_DETROIT,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_253,ODC_DETROIT,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_253,ODC_DETROIT,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_253,ODC_DETROIT,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_253,ODC_DETROIT,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_253,ODC_GRAND_RAPIDS,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_253,ODC_GRAND_RAPIDS,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_253,ODC_GRAND_RAPIDS,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_253,ODC_GRAND_RAPIDS,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_253,ODC_GRAND_RAPIDS,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_253,ODC_DAYTON,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_253,ODC_DAYTON,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_253,ODC_DAYTON,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_253,ODC_DAYTON,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_253,ODC_DAYTON,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_253,ODC_NASHVILLE,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_253,ODC_NASHVILLE,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_253,ODC_NASHVILLE,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_253,ODC_NASHVILLE,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_253,ODC_NASHVILLE,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_253,ODC_RAMOS,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_253,ODC_RAMOS,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_253,ODC_RAMOS,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_253,ODC_RAMOS,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_253,ODC_RAMOS,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_352,DC_HAMTRAMCK,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_352,DC_HAMTRAMCK,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_352,DC_HAMTRAMCK,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_352,DC_HAMTRAMCK,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_352,DC_HAMTRAMCK,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_352,ODC_DETROIT,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_352,ODC_DETROIT,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_352,ODC_DETROIT,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_352,ODC_DETROIT,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_352,ODC_DETROIT,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_352,ODC_GRAND_RAPIDS,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_352,ODC_GRAND_RAPIDS,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_352,ODC_GRAND_RAPIDS,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_352,ODC_GRAND_RAPIDS,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_352,ODC_GRAND_RAPIDS,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_352,ODC_DAYTON,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_352,ODC_DAYTON,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_352,ODC_DAYTON,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_352,ODC_DAYTON,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_352,ODC_DAYTON,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_352,ODC_NASHVILLE,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_352,ODC_NASHVILLE,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_352,ODC_NASHVILLE,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_352,ODC_NASHVILLE,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_352,ODC_NASHVILLE,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_352,ODC_RAMOS,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_352,ODC_RAMOS,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_352,ODC_RAMOS,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_352,ODC_RAMOS,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_352,ODC_RAMOS,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_180,DC_HAMTRAMCK,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_180,DC_HAMTRAMCK,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_180,DC_HAMTRAMCK,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_180,DC_HAMTRAMCK,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_180,DC_HAMTRAMCK,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_180,ODC_DETROIT,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_180,ODC_DETROIT,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_180,ODC_DETROIT,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_180,ODC_DETROIT,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_180,ODC_DETROIT,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_180,ODC_GRAND_RAPIDS,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_180,ODC_GRAND_RAPIDS,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_180,ODC_GRAND_RAPIDS,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_180,ODC_GRAND_RAPIDS,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_180,ODC_GRAND_RAPIDS,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_180,ODC_DAYTON,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_180,ODC_DAYTON,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_180,ODC_DAYTON,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_180,ODC_DAYTON,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_180,ODC_DAYTON,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_180,ODC_NASHVILLE,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_180,ODC_NASHVILLE,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_180,ODC_NASHVILLE,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_180,ODC_NASHVILLE,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_180,ODC_NASHVILLE,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_180,ODC_RAMOS,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_180,ODC_RAMOS,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_180,ODC_RAMOS,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_180,ODC_RAMOS,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_180,ODC_RAMOS,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_347,DC_HAMTRAMCK,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_347,DC_HAMTRAMCK,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_347,DC_HAMTRAMCK,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_347,DC_HAMTRAMCK,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_347,DC_HAMTRAMCK,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_347,ODC_DETROIT,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_347,ODC_DETROIT,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_347,ODC_DETROIT,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_347,ODC_DETROIT,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_347,ODC_DETROIT,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_347,ODC_GRAND_RAPIDS,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_347,ODC_GRAND_RAPIDS,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_347,ODC_GRAND_RAPIDS,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_347,ODC_GRAND_RAPIDS,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_347,ODC_GRAND_RAPIDS,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_347,ODC_DAYTON,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_347,ODC_DAYTON,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_347,ODC_DAYTON,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_347,ODC_DAYTON,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_347,ODC_DAYTON,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_347,ODC_NASHVILLE,,,Include,To Optimize,1,quantity-distance,,,,
,SUP_347,ODC_NASHVILLE,,,Include,To Optimize,1,quantity-distance,,,,
